time,binance,okx,spread_bps,elapsed_s,signal
08:13:47,75750.66,75746.8,0.5,0.12,
08:14:17,75725.08,75730.0,-0.6,0.13,
08:15:00,75719.9,75718.9,0.1,0.19,
08:15:17,75707.35,75704.7,0.4,0.14,
08:15:47,75701.53,75703.2,-0.2,0.14,
08:16:17,75728.77,75729.0,-0.0,0.13,
08:16:47,75748.54,75746.6,0.3,0.13,
08:17:17,75702.55,75698.9,0.5,0.13,
08:17:47,75687.26,75690.5,-0.4,0.15,
08:18:17,75709.69,75722.5,-1.7,0.13,
08:18:47,75696.84,75695.5,0.2,0.14,
08:19:17,75700.96,75700.0,0.1,0.14,
08:19:47,75731.35,75731.9,-0.1,0.13,
08:20:17,75746.75,75741.1,0.7,0.14,
08:20:47,75703.89,75703.8,0.0,0.56,
08:21:17,75703.88,75703.3,0.1,0.13,
08:21:33,75693.37,75688.5,0.6,0.14,
08:21:47,75693.36,75692.1,0.2,0.14,
08:22:03,75682.99,75684.1,-0.1,0.14,
08:22:17,75668.52,75673.7,-0.7,0.14,
08:22:33,75664.01,75667.5,-0.5,0.14,
08:22:47,75690.88,75691.7,-0.1,0.14,
08:23:03,75687.01,75692.1,-0.7,0.14,
08:23:17,75689.1,75689.0,0.0,0.14,
08:23:33,75688.36,75691.7,-0.4,0.14,
08:23:47,75685.48,75691.9,-0.8,0.14,
08:24:03,75690.87,75699.9,-1.2,0.14,
08:24:17,75723.0,75725.6,-0.3,0.15,
08:24:33,75739.66,75745.6,-0.8,0.14,
08:24:47,75739.65,75735.6,0.5,0.14,
08:25:03,75753.65,75760.0,-0.8,0.13,
08:25:17,75753.86,75747.6,0.8,0.13,
08:25:33,75778.66,75776.0,0.4,0.14,
08:25:47,75779.95,75781.4,-0.2,0.13,
08:26:03,75779.95,75784.8,-0.6,0.15,
08:26:17,75779.95,75780.0,-0.0,0.14,
08:26:33,75783.6,75784.1,-0.1,0.13,
08:26:47,75794.79,75794.6,0.0,0.13,
08:27:03,75792.91,75787.2,0.8,0.13,
08:27:17,75789.7,75795.3,-0.7,0.14,
08:27:33,75797.43,75796.6,0.1,0.23,
08:27:47,75794.77,75794.6,0.0,0.13,
08:28:03,75806.0,75799.9,0.8,0.14,
08:28:17,75806.0,75802.1,0.5,0.11,
08:28:33,75779.96,75779.9,0.0,0.13,
08:28:47,75782.2,75783.3,-0.1,0.14,
08:29:03,75778.39,75779.5,-0.1,0.13,
08:29:17,75781.44,75786.9,-0.7,0.14,
08:29:33,75784.05,75787.0,-0.4,0.13,
08:29:47,75792.32,75796.6,-0.6,0.16,
08:30:03,75830.57,75837.3,-0.9,0.13,
08:30:17,75845.3,75851.6,-0.8,0.13,
08:30:33,75862.05,75863.7,-0.2,0.14,
08:30:47,75868.51,75870.1,-0.2,0.19,
08:31:03,75870.86,75875.0,-0.5,0.13,
08:31:17,75877.36,75873.8,0.5,0.13,
08:31:33,75904.21,75909.6,-0.7,0.14,
08:31:47,75910.01,75909.7,0.0,0.14,
08:32:03,75966.2,75961.5,0.6,0.13,
08:32:17,75994.26,75993.8,0.1,0.13,
08:32:33,75984.13,75986.4,-0.3,0.13,
08:32:47,75922.41,75924.4,-0.3,0.13,
08:33:03,75919.27,75916.9,0.3,0.14,
08:33:17,75922.86,75922.9,-0.0,0.13,
08:33:33,75922.86,75930.2,-1.0,0.13,
08:33:47,75932.71,75935.4,-0.4,0.16,
08:34:03,75952.27,75953.5,-0.2,0.14,
08:34:17,75951.39,75951.3,0.0,0.14,
08:34:33,75963.3,75968.8,-0.7,0.13,
08:34:47,75951.54,75960.9,-1.2,0.13,
08:35:03,75954.54,75961.7,-0.9,0.14,
08:35:17,75967.83,75973.3,-0.7,0.12,
08:35:33,76032.55,76023.0,1.3,0.14,
08:35:47,76051.13,76048.0,0.4,0.14,
08:36:03,76068.96,76081.3,-1.6,0.13,
08:36:17,76032.55,76034.5,-0.3,0.13,
08:36:33,76014.5,76014.6,-0.0,0.13,
08:36:47,76008.61,76016.2,-1.0,0.14,
08:37:03,76010.25,76020.8,-1.4,0.13,
08:37:17,76073.88,76049.6,3.2,0.13,
08:37:33,76069.64,76070.7,-0.1,0.14,
08:37:47,76087.62,76093.5,-0.8,0.13,
08:38:03,76099.99,76095.0,0.7,0.13,
08:38:17,76100.65,76102.1,-0.2,0.14,
08:38:33,76106.73,76110.8,-0.5,0.24,
08:38:47,76099.15,76108.7,-1.3,0.13,
08:39:03,76143.8,76146.9,-0.4,0.14,
08:39:17,76128.87,76139.5,-1.4,0.14,
08:39:33,76141.91,76144.6,-0.4,0.13,
08:39:47,76155.45,76160.0,-0.6,0.14,
08:40:03,76152.55,76157.0,-0.6,0.13,
08:40:17,76125.0,76128.8,-0.5,0.14,
08:40:33,76129.75,76135.8,-0.8,0.13,
08:40:47,76140.0,76146.7,-0.9,0.16,
08:41:03,76147.06,76155.0,-1.0,0.13,
08:41:17,76152.4,76155.0,-0.3,0.13,
08:42:00,76144.82,76160.9,-2.1,0.19,
08:42:00,76140.0,76150.0,-1.3,0.14,
08:42:03,76131.25,76140.0,-1.1,0.14,
08:42:17,76121.21,76121.3,-0.0,0.23,
08:42:33,76079.7,76088.2,-1.1,0.16,
08:42:47,76067.16,76069.5,-0.3,0.14,
08:43:03,76059.21,76059.9,-0.1,0.14,
08:43:17,76038.82,76036.9,0.3,0.14,
08:43:33,76061.48,76068.5,-0.9,0.15,
08:43:47,76070.66,76075.0,-0.6,0.23,
08:44:03,76081.72,76090.8,-1.2,0.13,
08:44:17,76078.19,76079.8,-0.2,0.14,
08:44:33,76078.18,76079.8,-0.2,0.12,
08:44:47,76082.51,76092.3,-1.3,0.24,
08:45:03,76106.92,76110.9,-0.5,0.13,
08:45:17,76109.24,76111.2,-0.3,0.13,
08:45:33,76121.42,76121.3,0.0,0.15,
08:45:47,76146.26,76150.0,-0.5,0.14,
08:46:03,76163.06,76160.1,0.4,0.13,
08:46:17,76169.91,76169.3,0.1,0.14,
08:46:33,76170.11,76170.8,-0.1,0.12,
08:46:47,76175.51,76178.6,-0.4,0.13,
08:47:03,76175.51,76178.6,-0.4,0.14,
08:47:17,76194.98,76196.7,-0.2,0.14,
08:47:33,76185.4,76192.6,-0.9,0.13,
08:47:47,76208.56,76211.0,-0.3,0.14,
08:48:03,76244.99,76250.0,-0.7,0.14,
08:48:17,76255.0,76245.6,1.2,0.13,
08:48:34,76240.79,76233.1,1.0,0.13,
08:48:47,76322.23,76316.4,0.8,0.14,
08:49:04,76240.79,76237.3,0.5,0.3,
08:49:17,76234.02,76237.5,-0.5,0.13,
08:49:34,76210.02,76208.6,0.2,0.13,
08:49:47,76220.0,76224.2,-0.6,0.15,
08:50:04,76228.14,76230.7,-0.3,0.14,
08:50:17,76234.49,76235.0,-0.1,0.14,
08:50:34,76241.27,76241.2,0.0,0.14,
08:50:47,76252.71,76244.9,1.0,0.16,
08:51:04,76240.0,76240.0,0.0,0.13,
08:51:17,76240.01,76243.8,-0.5,0.14,
08:51:34,76251.99,76255.2,-0.4,0.14,
08:51:47,76262.0,76274.8,-1.7,0.13,
08:52:04,76272.44,76274.8,-0.3,0.14,
08:52:17,76276.92,76278.5,-0.2,0.13,
08:52:34,76260.29,76262.7,-0.3,0.14,
08:52:47,76258.88,76270.7,-1.5,0.14,
08:53:04,76304.54,76305.7,-0.2,0.13,
08:53:17,76322.23,76330.6,-1.1,0.14,
08:53:34,76331.3,76333.2,-0.2,0.14,
08:53:47,76322.24,76322.3,-0.0,0.14,
08:54:04,76328.83,76338.1,-1.2,0.14,
08:54:17,76310.6,76306.3,0.6,0.13,
08:54:34,76282.73,76282.5,0.0,0.15,
08:54:47,76296.81,76300.0,-0.4,0.12,
08:55:04,76314.49,76319.3,-0.6,0.14,
08:55:17,76314.66,76321.8,-0.9,0.14,
08:55:34,76307.61,76307.8,-0.0,0.15,
08:55:47,76306.17,76304.9,0.2,0.14,
08:56:04,76300.01,76296.2,0.5,0.14,
08:56:17,76282.72,76275.8,0.9,0.14,
08:56:34,76270.34,76269.7,0.1,0.14,
08:56:47,76311.06,76311.4,-0.0,0.13,
08:57:04,76312.75,76311.0,0.2,0.13,
08:57:17,76310.76,76311.1,-0.0,0.15,
08:57:34,76304.97,76296.5,1.1,0.13,
08:57:48,76275.14,76280.9,-0.8,0.49,
