time,name,price,chg_24h_pct,vol_24h_usdt,high,low,signal
00:07:54,WIF,0.189,6.78,6825122.0,0.19,0.171,
00:07:54,BOME,0.000533,5.13,1300083.0,0.000535,0.000483,
00:07:54,NEIRO,8.956e-05,1.89,3160339.0,9.111e-05,8.45e-05,
00:07:54,PENGU,0.009918,2.02,39756227.0,0.010009,0.009319,
00:08:54,DOGE,0.10709,3.41,188215596.0,0.10841,0.10096,Y
00:08:54,SHIB,6.33e-06,3.43,10076340.0,6.38e-06,6e-06,
00:08:54,PEPE,3.89e-06,1.3,48238265.0,3.95e-06,3.74e-06,
00:08:54,FLOKI,3.263e-05,1.78,3480539.0,3.284e-05,3.109e-05,
00:08:54,BONK,6.26e-06,1.46,5095621.0,6.3e-06,5.98e-06,
00:08:54,WIF,0.19,7.96,6825165.0,0.19,0.171,
00:08:54,BOME,0.000534,5.12,1297903.0,0.000535,0.000483,
00:08:54,NEIRO,8.957e-05,1.86,3157437.0,9.111e-05,8.45e-05,
00:08:54,PENGU,0.009924,2.1,39734915.0,0.010009,0.009319,
00:09:54,DOGE,0.10693,3.18,188197641.0,0.10841,0.10096,Y
00:09:54,SHIB,6.34e-06,3.6,10077422.0,6.38e-06,6e-06,
00:09:54,PEPE,3.9e-06,1.56,48230844.0,3.95e-06,3.74e-06,
00:09:54,FLOKI,3.259e-05,1.62,3482756.0,3.284e-05,3.109e-05,
00:09:54,BONK,6.26e-06,1.46,5086838.0,6.3e-06,5.98e-06,
00:09:54,WIF,0.19,7.34,6825438.0,0.19,0.171,
00:09:54,BOME,0.000533,4.92,1296515.0,0.000535,0.000483,
00:09:54,NEIRO,8.929e-05,1.63,3163822.0,9.111e-05,8.45e-05,
00:09:54,PENGU,0.009886,1.75,39843518.0,0.010009,0.009319,
00:10:54,DOGE,0.10703,3.21,188286400.0,0.10841,0.10096,Y
00:10:54,SHIB,6.33e-06,3.43,10078981.0,6.38e-06,6e-06,
00:10:54,PEPE,3.9e-06,1.56,48179295.0,3.95e-06,3.74e-06,
00:10:54,FLOKI,3.261e-05,1.65,3493539.0,3.284e-05,3.109e-05,
00:10:54,BONK,6.26e-06,1.29,5085859.0,6.3e-06,5.98e-06,
00:10:54,WIF,0.19,7.34,6840068.0,0.191,0.171,
00:10:54,BOME,0.000533,4.92,1295675.0,0.000535,0.000483,
00:10:54,NEIRO,8.942e-05,1.58,3160679.0,9.111e-05,8.45e-05,
00:10:54,PENGU,0.009902,1.75,39808668.0,0.010009,0.009319,
00:11:55,DOGE,0.10698,3.27,188246005.0,0.10841,0.10096,Y
00:11:55,SHIB,6.33e-06,3.43,10078938.0,6.38e-06,6e-06,
00:11:55,PEPE,3.89e-06,1.3,48096450.0,3.95e-06,3.74e-06,
00:11:55,FLOKI,3.26e-05,1.68,3485519.0,3.284e-05,3.109e-05,
00:11:55,BONK,6.26e-06,1.29,5074489.0,6.3e-06,5.98e-06,
00:11:55,WIF,0.19,7.34,6839512.0,0.191,0.171,
00:11:55,BOME,0.000534,5.12,1297781.0,0.000535,0.000483,
00:11:55,NEIRO,8.944e-05,1.71,3160085.0,9.111e-05,8.45e-05,
00:11:55,PENGU,0.009906,2.21,39779111.0,0.010009,0.009319,
00:12:54,DOGE,0.10692,3.33,188299474.0,0.10841,0.10096,Y
00:12:54,SHIB,6.33e-06,3.43,10091254.0,6.38e-06,6e-06,
00:12:54,PEPE,3.89e-06,1.3,48093912.0,3.95e-06,3.74e-06,
00:12:54,FLOKI,3.257e-05,1.69,3485356.0,3.284e-05,3.109e-05,
00:12:54,BONK,6.26e-06,1.46,5065779.0,6.3e-06,5.98e-06,
00:12:54,WIF,0.19,7.96,6887546.0,0.191,0.171,
00:12:54,BOME,0.000533,4.92,1297744.0,0.000535,0.000483,
00:12:54,NEIRO,8.936e-05,1.57,3159859.0,9.111e-05,8.45e-05,
00:12:54,PENGU,0.009929,2.67,39742813.0,0.010009,0.009319,
00:13:56,DOGE,0.10713,3.55,188422619.0,0.10841,0.10096,Y
00:13:56,SHIB,6.34e-06,3.76,10112355.0,6.38e-06,6e-06,
00:13:56,PEPE,3.9e-06,1.56,48081622.0,3.95e-06,3.74e-06,
00:13:56,FLOKI,3.259e-05,1.75,3482929.0,3.284e-05,3.109e-05,
00:13:56,BONK,6.27e-06,1.79,5016265.0,6.3e-06,5.98e-06,
00:13:56,WIF,0.19,7.96,6914002.0,0.191,0.171,
00:13:56,BOME,0.000534,5.12,1298248.0,0.000535,0.000483,
00:13:56,NEIRO,8.95e-05,1.66,3158552.0,9.111e-05,8.45e-05,
00:13:56,PENGU,0.00996,3.05,39704868.0,0.010009,0.009319,
00:15:54,DOGE,0.10696,3.46,188519602.0,0.10841,0.10096,Y
00:15:54,SHIB,6.33e-06,3.43,10110208.0,6.38e-06,6e-06,
00:15:54,PEPE,3.9e-06,1.3,47978056.0,3.95e-06,3.74e-06,
00:15:54,FLOKI,3.256e-05,1.53,3474167.0,3.284e-05,3.109e-05,
